"_wks_percentile_bucket","_wkshell","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","GO","IsSingleNode","layers_ppin","name","NeighborhoodConnectivity","noefftarg","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Phenotype","Radiality","selected","SelfLoops","shared name","shells_ppin","Stress","targ","TopologicalCoefficient","Yali_pheno","Yali_pheno111"
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT5G54190","103.0","","1","0","0","","0.63741218","false","0","AT5G54190","2","0","","0.0","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT5G53560","103.0","","1","0","0","","0.63741218","false","0","AT5G53560","2","0","","0.0","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT5G51010","103.0","","1","0","0","","0.63741218","false","0","AT5G51010","2","0","","0.0","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT5G49210","103.0","","1","0","0","","0.63741218","false","0","AT5G49210","2","0","","0.0","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT5G43460","103.0","","1","0","0","","0.63741218","false","0","AT5G43460","2","0","","0.0","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT5G39510","103.0","","1","0","0","2MRP","0.63741218","false","0","AT5G39510","2","0","","0.0","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT5G24130","103.0","","1","0","0","","0.63741218","false","0","AT5G24130","2","0","","0.0","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT5G19875","103.0","","1","0","0","","0.63741218","false","0","AT5G19875","2","0","","0.0","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT5G19750","103.0","","1","0","0","","0.63741218","false","0","AT5G19750","2","0","","0.0","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT5G16150","103.0","","1","0","0","","0.63741218","false","0","AT5G16150","2","0","","0.0","",""
"40","17","4.85005767","4.0422E-4","0.20618312","0.0","3","8","","false","Peripharal","AT5G06780","10.33333333","","3","0","0","","0.64999476","false","0","AT5G06780","27","4172","EffeTarg","0.37333333","",""
"90","47","4.98846597","0.0","0.20046243","0.0","1","9","","false","inner","AT5G05760","103.0","","1","0","0","","0.63741218","false","0","AT5G05760","2","0","","0.0","",""
